Season;Direction;Player;Age;Position;Nationality;From Club;To Club;Fee (raw);Fee Type;Fee (EUR);Market Value
2025/26;Arrival;Love Arrhov;17;Attacking Midfield;Sweden;Brommapojkarna;;ýýý4.60m;transfer;4600000.0;ýýý4.60m
2025/26;Arrival;Noah Fenyï¿;19;Defensive Midfield;Hungary;E. Frankfurt II;;-;undisclosed;;-
2025/26;Arrival;Paxten Aaronson;21;Attacking Midfield;United States;FC Utrecht;;End of loan30.06.2025;loan_return;0.0;End of loan30.06.2025
2025/26;Arrival;Elias Baum;19;Right-Back;Germany;SV Elversberg;;End of loan30.06.2025;loan_return;0.0;End of loan30.06.2025
2025/26;Arrival;Aurï¿½ï¿½ï¿½ï;28;Right-Back;Portugal;Stade Reims;;End of loan30.06.2025;loan_return;0.0;End of loan30.06.2025
2025/26;Arrival;Nacho Ferri;20;Centre-Forward;Spain;KV Kortrijk;;End of loan30.06.2025;loan_return;0.0;End of loan30.06.2025
2025/26;Arrival;Hrvoje Smolcic;24;Centre-Back;Croatia;LASK;;End of loan30.06.2025;loan_return;0.0;End of loan30.06.2025
2025/26;Arrival;Jessic Ngankam;24;Centre-Forward;Germany;Hannover 96;;End of loan30.06.2025;loan_return;0.0;End of loan30.06.2025
2025/26;Departure;Hugo Ekitikï¿;23;Centre-Forward;France;;Liverpool;ýýý90.00m;transfer;90000000.0;ýýý90.00m
2025/26;Departure;Tuta;26;Centre-Back;Brazil;;Al-Duhail SC;ýýý15.00m;transfer;15000000.0;ýýý15.00m
2025/26;Departure;Igor Matanovic;22;Centre-Forward;Croatia;;SC Freiburg;ýýý6.70m;transfer;6700000.0;ýýý6.70m
2025/26;Departure;Nacho Ferri;20;Centre-Forward;Spain;;KVC Westerlo;ýýý2.00m;transfer;2000000.0;ýýý2.00m
2025/26;Departure;Krisztiï¿½ï¿½ï¿½ï¿;20;Attacking Midfield;Hungary;;Ferencvï¿½ï¿;loan transfer;loan;;loan transfer
2025/26;Departure;Rasmus Kristensen;27;Right-Back;Denmark;;Leeds;End of loan30.06.2025;loan_return;0.0;End of loan30.06.2025
2026/27;Arrival;Krisztiï¿½ï¿½ï¿½ï¿;21;Attacking Midfield;Hungary;Ferencvï¿½ï¿;;End of loan30.06.2026;loan_return;0.0;End of loan30.06.2026
2026/27;Arrival;Simon Simoni;21;Goalkeeper;Albania;1.FC K'lautern;;End of loan30.06.2026;loan_return;0.0;End of loan30.06.2026
